"Name","Start Year","End Year","Era Label","is_circa","is_active","Score"
"Crown of Princess Blanche","1370","80.0","1370–80","False","False","0"
"1380s in art","1380","","1380s","False","False","0"
"Cretan school","1380","1450.0","1380–1450","False","False","0"
"Book of Wonders","1382","1410.0","1382–1410","False","False","0"
"Champmol","1383","","c. 1383","True","False","3"
"1390s in art","1390","","1390s","False","False","0"
"1400s in art","1400","1500.0","15th century","False","False","0"
"Church of Santa Maria dell'Ammiraglio","1400","1500.0","15th century","False","False","0"
"Bibi Shahrbanu Shrine","1400","1500.0","15th century","False","False","3"
"Bust of Andrea Loredan","1400","1500.0","15th century","False","False","0"
"Apethorpe Palace","1400","1500.0","15th century","False","False","0"
"Angel musicians (National Gallery)","1400","1500.0","15th century","False","False","0"
"Assumpta with the Baby Jesus from Kamenná Street","1400","1500.0","15th century","False","False","0"
"Aso Olona","1400","1500.0","15th century","False","False","0"
"1 Tanner Row","1400","1500.0","15th century","False","False","0"
"Codex of Bécs","1400","1500.0","15th century","False","False","0"
"1410s in art","1410","","1410s","False","False","0"
"1420s in art","1420","","1420s","False","False","0"
"Bosom of Abraham Trinity","1420","50.0","1420–50","False","False","0"
"Brancacci Chapel","1422","","c. 1422","True","False","0"
"Baysunghur Shahnameh","1426","","c. 1426","True","False","0"
"1430s in art","1430","","1430s","False","False","0"
"Amor-Attis","1440","1443.0","1440–1443","False","False","0"
"1440s in art","1440","","1440s","False","False","0"
"Assamese manuscript painting","1449","1568.0","1449–1568","False","False","3"
"1450s in art","1450","","1450s","False","False","0"
"1460s in art","1460","","1460s","False","False","0"
"1470s in art","1470","","1470s","False","False","0"
"Anne of Brittany's heart jewel case","1477","1514.0","1477–1514","False","False","0"
"Death playing chess","1480","1490.0","1480–1490","False","False","0"
"1480s in art","1480","","1480s","False","False","0"
"Baburnama","1483","1530.0","1483–1530","False","False","0"
"1490s in art","1490","","1490s","False","False","0"
"Antwerp school","1500","1600.0","16th century","False","False","13"
"Antwerp Mannerism","1500","1600.0","16th century","False","False","3"
"Art of the late 16th century in Milan","1500","1600.0","16th century","False","False","0"
"Deccan painting","1500","1600.0","16th century","False","False","0"
"Aláàrìnjó","1500","1600.0","16th century","False","False","0"
"Ali Qapu (Tabriz)","1500","1600.0","16th century","False","False","0"
"Bust of a Child","1500","1600.0","16th century","False","False","0"
"Chinese ceramics","1500","1600.0","16th century","False","False","3"
"Aniconism in Christianity","1500","1600.0","16th century","False","False","0"
"Apostles from the Agony in the Garden","1500","1510.0","1500–1510","False","False","0"
"Arabic typography","1500","1600.0","16th century","False","False","0"
"Art in the Protestant Reformation and Counter-Reformation","1500","1600.0","16th century","False","False","3"
"Cabaña pasiega","1500","1600.0","16th century","False","False","0"
"Academia literaria","1500","1681.0","1500–1681","False","False","3"
"Culteranismo","1500","1600.0","16th century","False","False","3"
"Decorative painting in Hälsingland","1500","1600.0","16th century","False","False","0"
"Baroque garden","1500","1600.0","16th century","False","False","50"
"Danube school","1500","1600.0","16th century","False","False","3"
"Dashabatar Cards","1500","1600.0","16th century","False","False","0"
"Academic art","1500","1600.0","16th century","False","False","13"
"Cadaver monument","1500","1600.0","16th century","False","False","3"
"Basilica of the Holy Blood","1500","1600.0","16th century","False","False","0"
"Conceptismo","1500","1600.0","16th century","False","False","3"
"Art patronage of Julius II","1503","1513.0","1503–1513","False","False","0"
"16th-century Western domes","1505","6.0","1505–6","False","False","3"
"8th Karmapa, Mikyö Dorje","1507","1554.0","1507–1554","False","False","0"
"De Aetatibus Mundi Imagines","1517","84.0","1517–84","False","False","0"
"David Kandel","1520","1592.0","1520–1592","False","False","0"
"Canzonetta","1560","","c. 1560","True","False","18"
"Bahay na bato","1565","1898.0","1565–1898","False","False","0"
"Arnold Bronckorst","1565","1583.0","1565–1583","False","False","0"
"Cecco del Caravaggio","1571","1610.0","1571–1610","False","False","0"
"Bartolomeo Manfredi","1582","12.0","1582–12","False","False","0"
"Alice's Shop","1600","1700.0","17th century","False","False","3"
"Casa Cosmana Navarra","1600","1687.0","1600–1687","False","False","0"
"Alguacilillo","1600","1700.0","17th century","False","False","0"
"Baroque painting","1600","1700.0","17th century","False","False","53"
"Akabeko","1600","1700.0","17th century","False","False","3"
"Baroque dance","1600","1750.0","1600–1750","False","False","50"
"Baroque","1600","1700.0","17th century","False","False","62"
"Adam and Eve in the Garden of Eden","1600","1700.0","17th century","False","False","0"
"Basohli (town)","1600","1700.0","17th century","False","False","0"
"Basso continuo","1600","1750.0","1600–1750","False","False","0"
"Church of St. Thomas Aquinas and the Dominican monastery in Minsk","1600","1700.0","17th century","False","False","0"
"Canzone","1600","1700.0","17th century","False","False","3"
"Cape Cod (house)","1600","1700.0","17th century","False","False","9"
"Capiz shell window","1600","1700.0","17th century","False","False","0"
"Brigid's cross","1600","1700.0","17th century","False","False","0"
"Chorale monody","1600","1700.0","17th century","False","False","3"
"Chinoiserie","1600","1700.0","17th century","False","False","3"
"Chinoiserie in fashion","1600","1700.0","17th century","False","False","9"
"-ism","1600","1700.0","17th century","False","False","0"
"Classical Ottoman architecture","1600","1700.0","17th century","False","False","0"
"Auricular style","1600","1700.0","17th century","False","False","10"
"Chehel Sotoun","1600","1700.0","17th century","False","False","0"
"Apocalypse Tapestry","1600","1700.0","17th century","False","False","0"
"Blackletter","1600","1700.0","17th century","False","False","0"
"Convent of La Merced, Mexico City","1600","1700.0","17th century","False","False","0"
"Art","1600","1700.0","17th century","False","False","3"
"Chorale motet","1605","1610.0","1605–1610","False","False","6"
"Cabal of Naples","1610","","1610s","False","False","0"
"Augmentation of honour","1617","1688.0","1617–1688","False","False","0"
"Allegory of Divine Providence and Barberini Power","1620","","1620s","False","False","0"
"Cartilage Baroque","1620","1660.0","1620–1660","False","False","50"
