Name,Start Year,End Year,Era Label,is_circa,is_active,Score
Colourist painting,1900,2000.0,20th century,False,False,13
Bombay Progressive Artists' Group,1900,2000.0,20th century,False,False,3
Antiqua–Fraktur dispute,1900,2000.0,20th century,False,False,0
Counterculture of the 1960s,1900,2000.0,20th century,False,False,0
American modernism,1900,2000.0,20th century,False,False,18
Amsterdamse Joffers,1900,2000.0,20th century,False,False,0
Airplane Bungalow,1900,2000.0,20th century,False,False,6
African sculpture,1900,2000.0,20th century,False,False,0
California Impressionism,1900,2000.0,20th century,False,False,51
Canons of page construction,1900,2000.0,20th century,False,False,0
Celtic Revival,1900,2000.0,20th century,False,False,9
Contemporary Turkish miniature,1900,2000.0,20th century,False,False,0
Chhayavad,1900,2000.0,20th century,False,False,9
Art of Champa,1900,2000.0,20th century,False,False,3
Art manifesto,1900,2000.0,20th century,False,False,6
Caravaggisti,1900,2000.0,20th century,False,False,6
Abstract expressionism,1900,2000.0,20th century,False,False,16
Cubism,1900,2000.0,20th century,False,False,69
African art,1900,2000.0,20th century,False,False,0
Aesthetic Realism,1902,1978.0,1902–1978,False,False,6
Classical Hollywood cinema,1910,,1910s,False,False,12
Australian tonalism,1910,,1910s,False,False,13
Art Deco,1910,,1910s,False,False,19
Anglo-Japanese style,1910,,1910s,False,False,9
British Constructivists,1913,2005.0,1913–2005,False,False,0
Counter-Maniera,1914,1997.0,1914–1997,False,False,3
Avant-garde,1915,1920.0,1915–1920,False,False,3
Constructivism (art),1915,,c. 1915,True,False,4
Danish modern,1920,,1920s,False,False,13
Cubist sculpture,1920,,1920s,False,False,3
Crystal Cubism,1920,,1920s,False,False,59
California Scene Painting,1920,,1920s,False,False,6
Blok (avant-garde group),1924,1926.0,1924–1926,False,False,0
Combine painting,1925,2008.0,1925–2008,False,False,6
Avant-garde photography in Japan,1930,,1930s,False,False,3
Dakar School,1930,,1930s,False,False,13
Dada,1930,,1930s,False,False,10
Black Paintings (Stella),1936,2024.0,1936–2024,False,False,0
Abstract impressionism,1940,,1940s,False,False,13
Color field,1940,,1940s,False,False,16
Acousmatic music,1940,,1940s,False,False,0
Arte Informale,1940,,1940s,False,False,16
4′33″,1947,48.0,1947–48,False,False,0
California Clay Movement,1950,,1950s,False,False,3
Bokujinkai,1950,,1950s,False,False,0
AI art,1950,,1950s,False,False,3
All-over painting,1950,,1950s,False,False,0
Coquette aesthetic,1950,60.0,1950–60,False,False,6
Conceptual art,1950,,1950s,False,False,12
Antipodeans,1950,,1950s,False,False,3
Asian American art,1960,,1960s,False,False,0
Arte Povera,1960,,1960s,False,False,19
Black Arts Movement,1960,,1960s,False,False,25
Blotter art,1960,,1960s,False,False,0
Contemporary realism,1960,,1960s,False,False,6
Computer-aided design,1960,,1960s,False,False,0
Conceptual photography,1960,,1960s,False,False,3
Art pop,1960,,1960s,False,False,12
Chicano art movement,1960,,1960s,False,False,19
Anti-art,1960,,1960s,False,False,3
Cinema Novo,1960,,1960s,False,False,13
Czechoslovak New Wave,1960,,1960s,False,False,3
Chinese Apartment Art,1970,,1970s,False,False,3
Chicano Movement,1970,,1970s,False,False,18
Budapest school,1970,,1970s,False,False,3
Brushmen of the Bush,1970,,1970s,False,False,6
British high-tech architecture,1970,,1970s,False,False,6
Art in the Streets,1970,,1970s,False,False,0
Australian New Wave,1970,,1970s,False,False,3
Abstract illusionism,1970,,1970s,False,False,3
Commercial graffiti,1980,,1980s,False,False,3
Cinéma du look,1980,,1980s,False,False,3
Deconstruction (fashion),1980,,1980s,False,False,3
Afrofuturism,1990,,1990s,False,False,6
Cynical realism,1990,,1990s,False,False,19
Danmei,1990,,1990s,False,False,10
Blobitecture,1990,,1990s,False,False,6
American eccentric cinema,1990,,1990s,False,False,6
Decadent Action,1990,,1990s,False,False,0
Contemporary African art,1990,,1990s,False,False,0
Cybergoth,1990,,1990s,False,False,0
Cyberpunk,1999,2003.0,1999–2003,False,False,3
Acousmatic sound,2000,,2000s,False,False,0
Corecore,2000,2100.0,21th century,False,False,6
Classical Realism,2000,2100.0,21th century,False,False,6
Art of Movement,2002,,c. 2002,True,False,0
Bhavani Jamakkalam,2005,6.0,2005–06,False,False,0
Dark academia,2010,,2010s,False,False,6
Corporate Memphis,2010,,2010s,False,False,6
Brandalism,2019,2020.0,2019–2020,False,False,0
Bored Ape,2021,2022.0,2021–2022,False,False,0
